timestamp,EAR,blink_count,yawn_count,fatigue_level
2025-12-16 15:54:55,0.26237398163021924,0,0,0.0
2025-12-16 15:54:55,0.2820057260465573,0,0,0.0
2025-12-16 15:54:55,0.27651759864921144,0,0,0.0
2025-12-16 15:54:55,0.27651759864921144,0,0,0.0
2025-12-16 15:54:56,0.2841148889570617,0,0,0.0
2025-12-16 15:54:56,0.2843202184863719,0,0,0.0
2025-12-16 15:54:56,0.2843202184863719,0,0,0.0
2025-12-16 15:54:56,0.26180148693316196,0,0,0.0
2025-12-16 15:54:56,0.26180148693316196,0,0,0.0
2025-12-16 15:54:56,0.2691806813033426,0,0,0.0
2025-12-16 15:54:56,0.26374083059156883,0,0,0.0
2025-12-16 15:54:56,0.25858830675911404,0,0,0.0
2025-12-16 15:54:56,0.25858830675911404,0,0,0.0
2025-12-16 15:54:56,0.2864180971318243,0,0,0.0
2025-12-16 15:54:56,0.2864180971318243,0,0,0.0
2025-12-16 15:54:56,0.30971028828926195,0,0,0.0
2025-12-16 15:54:56,0.30971028828926195,0,0,0.0
2025-12-16 15:54:56,0.33014574512784617,0,0,0.0
2025-12-16 15:54:56,0.33014574512784617,0,0,0.0
2025-12-16 15:54:56,0.32170484432544505,0,0,0.0
2025-12-16 15:54:56,0.32170484432544505,0,0,0.0
2025-12-16 15:54:56,0.31844773836661566,0,0,0.0
2025-12-16 15:54:56,0.31726048822485015,0,0,0.0
2025-12-16 15:54:56,0.31726048822485015,0,0,0.0
2025-12-16 15:54:56,0.27177073609637625,0,0,0.0
2025-12-16 15:54:56,0.27177073609637625,0,0,0.0
2025-12-16 15:54:56,0.31552430255819797,0,0,0.0
2025-12-16 15:54:56,0.31552430255819797,0,0,0.0
2025-12-16 15:54:56,0.32353570734031933,0,0,0.0
2025-12-16 15:54:56,0.32353570734031933,0,0,0.0
2025-12-16 15:54:56,0.3207778192352153,0,0,0.0
2025-12-16 15:54:56,0.3207778192352153,0,0,0.0
2025-12-16 15:54:57,0.35428976267574047,0,0,0.0
2025-12-16 15:54:57,0.35428976267574047,0,0,0.0
2025-12-16 15:54:57,0.3234771205051409,0,0,0.0
2025-12-16 15:54:57,0.3234771205051409,0,0,0.0
2025-12-16 15:54:57,0.321272903547054,0,0,0.0
2025-12-16 15:54:57,0.321272903547054,0,0,0.0
2025-12-16 15:54:57,0.34090909090909094,0,0,0.0
2025-12-16 15:54:57,0.34090909090909094,0,0,0.0
2025-12-16 15:54:57,0.3490958031946046,0,0,0.0
2025-12-16 15:54:57,0.3490958031946046,0,0,0.0
2025-12-16 15:54:57,0.3518761299980236,0,0,0.0
2025-12-16 15:54:57,0.3518761299980236,0,0,0.0
2025-12-16 15:54:57,0.34450568677290205,0,0,0.0
2025-12-16 15:54:57,0.34450568677290205,0,0,0.0
2025-12-16 15:54:57,0.3391302613768419,0,0,0.0
2025-12-16 15:54:57,0.3391302613768419,0,0,0.0
2025-12-16 15:54:57,0.3468264224648304,0,0,0.0
2025-12-16 15:54:57,0.3468264224648304,0,0,0.0
2025-12-16 15:54:57,0.35092993482952356,0,0,0.0
2025-12-16 15:54:57,0.35092993482952356,0,0,0.0
2025-12-16 15:54:57,0.3183121644987832,0,0,0.0
2025-12-16 15:54:57,0.3183121644987832,0,0,0.0
2025-12-16 15:54:57,0.2357836231302817,0,0,0.0
2025-12-16 15:54:57,0.2357836231302817,0,0,0.0
2025-12-16 15:54:57,0.2547942399175898,0,0,0.0
2025-12-16 15:54:57,0.2547942399175898,0,0,0.0
2025-12-16 15:54:57,0.25472022751481044,0,0,0.0
2025-12-16 15:54:57,0.25472022751481044,0,0,0.0
2025-12-16 15:54:57,0.28862588000995315,0,0,0.0
2025-12-16 15:54:58,0.28862588000995315,0,0,0.0
2025-12-16 15:54:58,0.3186436228985063,0,0,0.0
2025-12-16 15:54:58,0.3186436228985063,0,0,0.0
2025-12-16 15:54:58,0.3252138994206292,0,0,0.0
2025-12-16 15:54:58,0.3252138994206292,0,0,0.0
2025-12-16 15:54:58,0.347624281323185,0,0,0.0
2025-12-16 15:54:58,0.347624281323185,0,0,0.0
2025-12-16 15:54:58,0.3284318696152477,0,0,0.0
2025-12-16 15:54:58,0.3284318696152477,0,0,0.0
2025-12-16 15:54:58,0.3461631808452783,0,0,0.0
2025-12-16 15:54:58,0.3461631808452783,0,0,0.0
2025-12-16 15:54:58,0.33321529901108043,0,0,0.0
2025-12-16 15:54:58,0.33321529901108043,0,0,0.0
2025-12-16 15:54:58,0.35968340209854033,0,0,0.0
2025-12-16 15:54:58,0.35968340209854033,0,0,0.0
2025-12-16 15:54:58,0.33848578851794575,0,0,0.0
2025-12-16 15:54:58,0.33848578851794575,0,0,0.0
2025-12-16 15:54:58,0.3358044720789818,0,0,0.0
2025-12-16 15:54:58,0.3358044720789818,0,0,0.0
2025-12-16 15:54:58,0.301154387051599,0,0,0.0
2025-12-16 15:54:58,0.301154387051599,0,0,0.0
2025-12-16 15:54:58,0.23910801324468597,0,0,0.0
2025-12-16 15:54:58,0.23910801324468597,0,0,0.0
2025-12-16 15:54:58,0.2863135750540716,0,0,0.0
2025-12-16 15:54:58,0.2863135750540716,0,0,0.0
2025-12-16 15:54:58,0.3035462056496193,0,0,0.0
2025-12-16 15:54:58,0.3035462056496193,0,0,0.0
2025-12-16 15:54:58,0.32059065869229464,0,0,0.0
2025-12-16 15:54:58,0.32059065869229464,0,0,0.0
2025-12-16 15:54:58,0.3557367013753287,0,0,0.0
2025-12-16 15:54:59,0.3557367013753287,0,0,0.0
2025-12-16 15:54:59,0.3340661942517656,0,0,0.0
2025-12-16 15:54:59,0.3340661942517656,0,0,0.0
2025-12-16 15:54:59,0.26068821475662546,0,0,0.0
2025-12-16 15:54:59,0.26068821475662546,0,0,0.0
2025-12-16 15:54:59,0.24275299066264924,0,0,0.0
2025-12-16 15:54:59,0.24275299066264924,0,0,0.0
2025-12-16 15:54:59,0.2793510624296017,0,0,0.0
2025-12-16 15:54:59,0.2793510624296017,0,0,0.0
2025-12-16 15:54:59,0.3340454627688424,0,0,0.0
2025-12-16 15:54:59,0.3340454627688424,0,0,0.0
2025-12-16 15:54:59,0.3291043832876001,0,0,0.0
2025-12-16 15:54:59,0.3291043832876001,0,0,0.0
2025-12-16 15:54:59,0.33160257967166545,0,0,0.0
2025-12-16 15:54:59,0.33160257967166545,0,0,0.0
2025-12-16 15:54:59,0.3235348374193627,0,0,0.0
2025-12-16 15:54:59,0.3235348374193627,0,0,0.0
2025-12-16 15:54:59,0.2611304556317034,0,0,0.0
2025-12-16 15:54:59,0.23581667508724613,0,0,0.0
